minimum_nights,number_of_reviews,reviews_per_month,Price
5.0,1.0,0.21,40
1.0,10.0,0.23,100
1.0,3.0,1.64,75
1.0,5.0,0.25,80
6.0,19.0,1.88,65
2.0,26.0,1.17,85
30.0,8.0,0.32,150
2.0,29.0,1.29,305
1.0,0.0,0.0,130
1.0,73.0,7.99,200
30.0,61.0,2.6,91
2.0,0.0,0.0,276
3.0,13.0,0.37,150
3.0,2.0,0.03,200
2.0,29.0,3.83,300
6.0,11.0,0.41,325
2.0,0.0,0.0,50
1.0,2.0,2.0,135
1.0,36.0,3.59,67
1.0,128.0,4.36,40
2.0,3.0,0.63,80
30.0,0.0,0.0,222
1.0,321.0,3.93,165
2.0,5.0,0.71,95
3.0,335.0,3.02,101
7.0,25.0,1.1,60
1.0,3.0,0.28,83
1.0,37.0,2.19,48
3.0,9.0,0.36,400
1.0,5.0,1.18,45
1.0,179.0,5.71,175
2.0,2.0,0.14,86
30.0,0.0,0.0,34
1.0,83.0,1.39,99
2.0,124.0,3.65,100
3.0,7.0,0.28,170
2.0,7.0,0.96,55
2.0,0.0,0.0,110
6.0,4.0,0.15,95
2.0,0.0,0.0,115
3.0,58.0,0.7,349
6.0,5.0,0.37,137
14.0,0.0,0.0,99
2.0,36.0,0.74,113
2.0,39.0,1.15,200
30.0,0.0,0.0,499
2.0,12.0,0.38,80
5.0,36.0,2.87,350
1.0,4.0,0.48,100
5.0,19.0,0.24,355
3.0,0.0,0.0,110
2.0,4.0,0.53,140
14.0,0.0,0.0,95
1.0,2.0,0.03,95
2.0,16.0,0.43,150
4.0,2.0,0.09,80
29.0,0.0,0.0,189
1.0,135.0,7.67,110
3.0,7.0,0.64,90
4.0,46.0,1.23,85
7.0,0.0,0.0,25
5.0,1.0,0.02,200
1.0,2.0,0.05,150
31.0,5.0,0.12,285
1.0,0.0,0.0,200
2.0,2.0,0.09,90
2.0,40.0,2.2,65
2.0,12.0,0.2,59
1.0,1.0,0.05,65
1.0,44.0,4.07,90
2.0,2.0,0.31,195
28.0,16.0,0.22,70
60.0,5.0,0.42,115
1.0,5.0,0.09,225
2.0,10.0,3.13,44
3.0,74.0,0.84,125
29.0,0.0,0.0,207
2.0,8.0,1.88,227
30.0,0.0,0.0,130
2.0,114.0,2.0,97
1.0,31.0,0.79,95
4.0,6.0,0.12,325
2.0,7.0,0.18,105
4.0,0.0,0.0,400
3.0,1.0,0.06,39
14.0,4.0,0.19,165
1.0,63.0,5.61,148
2.0,70.0,2.64,180
30.0,19.0,0.52,55
2.0,1.0,0.05,80
1.0,92.0,4.09,90
2.0,237.0,3.7,190
3.0,5.0,0.27,185
2.0,3.0,1.11,235
15.0,0.0,0.0,70
2.0,31.0,1.15,169
25.0,0.0,0.0,100
1.0,17.0,2.71,50
17.0,9.0,0.28,101
2.0,18.0,0.38,299
1.0,2.0,0.08,79
3.0,2.0,0.09,55
1.0,10.0,0.27,175
4.0,26.0,1.81,55
1.0,2.0,1.3,95
2.0,0.0,0.0,75
2.0,48.0,1.11,84
1.0,3.0,0.08,55
5.0,2.0,0.15,150
14.0,12.0,0.82,46
2.0,1.0,0.16,65
30.0,2.0,0.06,140
2.0,2.0,0.04,65
1.0,12.0,0.24,120
30.0,0.0,0.0,314
2.0,18.0,3.94,150
2.0,7.0,0.9,120
30.0,0.0,0.0,80
30.0,0.0,0.0,150
3.0,79.0,3.67,45
30.0,0.0,0.0,42
2.0,146.0,2.21,119
4.0,0.0,0.0,82
1.0,2.0,0.04,90
14.0,13.0,0.4,59
1.0,44.0,3.45,95
1.0,95.0,5.63,50
1.0,7.0,0.21,45
2.0,10.0,5.56,309
7.0,0.0,0.0,150
5.0,1.0,0.37,70
1.0,2.0,0.04,80
2.0,0.0,0.0,200
5.0,26.0,0.47,165
12.0,4.0,0.16,105
2.0,14.0,0.33,155
60.0,0.0,0.0,55
2.0,1.0,0.38,180
2.0,1.0,1.0,300
2.0,36.0,0.61,72
1.0,454.0,5.27,39
2.0,10.0,0.32,80
1.0,56.0,1.14,149
4.0,89.0,2.44,115
1.0,2.0,0.04,50
27.0,1.0,0.01,200
2.0,156.0,4.13,125
30.0,0.0,0.0,285
1.0,102.0,1.73,100
2.0,57.0,4.76,120
3.0,3.0,0.11,30
1.0,8.0,2.96,300
1.0,14.0,0.4,67
1.0,2.0,2.0,35
1.0,7.0,0.15,45
2.0,13.0,0.22,50
3.0,20.0,0.38,40
1.0,11.0,1.42,163
1.0,8.0,0.23,164
1.0,1.0,0.03,75
5.0,14.0,0.3,68
2.0,58.0,1.05,64
10.0,19.0,0.27,59
3.0,0.0,0.0,143
2.0,2.0,2.0,35
2.0,12.0,1.13,119
30.0,23.0,0.47,85
2.0,167.0,4.04,180
5.0,29.0,3.57,285
2.0,0.0,0.0,120
2.0,53.0,4.86,195
2.0,3.0,0.09,105
1.0,1.0,0.03,91
1.0,15.0,1.87,90
4.0,35.0,2.19,375
3.0,2.0,1.62,100
3.0,2.0,0.09,215
1.0,12.0,0.54,50
2.0,3.0,0.07,250
3.0,11.0,1.05,104
1.0,201.0,4.45,72
2.0,3.0,0.29,65
1.0,7.0,0.38,249
3.0,67.0,1.53,70
1.0,6.0,0.41,175
3.0,79.0,2.33,200
5.0,0.0,0.0,155
1.0,3.0,0.21,75
3.0,86.0,3.02,100
2.0,44.0,1.33,60
7.0,0.0,0.0,100
1.0,14.0,1.25,75
3.0,23.0,0.95,65
3.0,58.0,7.91,90
3.0,2.0,0.06,100
30.0,1.0,0.43,120
7.0,0.0,0.0,200
2.0,15.0,0.41,90
4.0,61.0,0.72,115
7.0,0.0,0.0,100
1.0,1.0,0.02,55
3.0,14.0,0.74,350
4.0,0.0,0.0,99
3.0,1.0,0.02,475
4.0,3.0,0.4,70
1.0,18.0,3.16,99
4.0,115.0,1.25,93
1.0,24.0,7.58,201
3.0,17.0,1.42,100
3.0,3.0,0.24,150
3.0,19.0,0.7,65
1.0,6.0,0.16,150
3.0,12.0,1.02,46
2.0,93.0,2.39,50
6.0,30.0,1.84,75
1.0,259.0,12.99,96
1.0,0.0,0.0,45
1.0,75.0,4.93,120
1.0,0.0,0.0,100
7.0,4.0,0.47,187
7.0,1.0,0.04,150
2.0,26.0,0.45,65
4.0,1.0,0.06,100
1.0,2.0,0.18,89
14.0,1.0,0.09,250
4.0,9.0,3.14,50
3.0,4.0,0.22,80
2.0,3.0,0.22,85
1.0,3.0,3.0,170
1.0,114.0,3.48,35
3.0,0.0,0.0,200
1.0,296.0,6.37,79
1.0,0.0,0.0,110
4.0,4.0,0.16,175
30.0,1.0,0.04,139
4.0,1.0,0.26,120
3.0,3.0,0.33,100
5.0,6.0,1.94,180
30.0,1.0,1.0,48
3.0,4.0,0.09,75
10.0,10.0,0.22,500
1.0,9.0,0.82,40
30.0,63.0,1.25,100
6.0,0.0,0.0,149
2.0,3.0,0.08,75
30.0,16.0,0.28,60
1.0,27.0,0.98,100
2.0,41.0,3.54,150
1.0,39.0,0.82,80
2.0,180.0,3.04,56
7.0,25.0,0.42,150
1.0,60.0,3.08,65
3.0,50.0,2.51,245
1.0,0.0,0.0,47
1.0,11.0,0.29,157
3.0,211.0,3.72,71
10.0,1.0,0.02,31
1.0,0.0,0.0,200
1.0,0.0,0.0,749
1.0,2.0,2.0,70
4.0,20.0,3.66,145
6.0,2.0,2.0,200
5.0,0.0,0.0,400
7.0,0.0,0.0,190
2.0,128.0,3.65,122
5.0,8.0,0.73,151
3.0,9.0,0.29,76
3.0,23.0,0.52,69
2.0,7.0,0.2,125
3.0,143.0,2.07,107
2.0,61.0,3.02,125
3.0,4.0,0.18,85
1.0,24.0,1.12,50
1.0,7.0,0.16,85
2.0,2.0,0.1,50
3.0,3.0,0.42,82
3.0,116.0,1.95,120
4.0,26.0,1.34,200
1.0,3.0,0.89,120
15.0,0.0,0.0,100
2.0,1.0,0.03,150
1.0,1.0,0.02,45
1.0,1.0,1.0,150
2.0,149.0,4.08,67
7.0,11.0,0.24,60
30.0,1.0,0.07,121
4.0,0.0,0.0,100
4.0,0.0,0.0,150
5.0,22.0,0.44,155
1.0,46.0,1.69,83
3.0,30.0,1.08,125
3.0,16.0,2.42,55
2.0,11.0,4.18,50
30.0,3.0,0.09,95
4.0,1.0,0.05,500
7.0,1.0,0.15,117
3.0,11.0,1.05,72
15.0,36.0,0.33,85
1.0,37.0,3.04,249
1.0,49.0,1.86,53
1.0,2.0,0.08,125
29.0,0.0,0.0,227
30.0,0.0,0.0,67
7.0,2.0,0.79,163
1.0,3.0,0.07,200
1.0,0.0,0.0,215
4.0,2.0,0.91,299
9.0,12.0,0.32,122
5.0,9.0,4.66,199
1.0,53.0,1.92,57
4.0,9.0,0.63,87
5.0,13.0,5.0,120
6.0,1.0,0.25,175
14.0,0.0,0.0,27
2.0,2.0,2.0,161
2.0,98.0,1.07,75
1.0,1.0,1.0,70
5.0,0.0,0.0,250
30.0,2.0,0.19,60
3.0,44.0,0.71,155
2.0,23.0,2.24,85
30.0,0.0,0.0,105
4.0,3.0,0.47,300
3.0,0.0,0.0,100
2.0,7.0,0.51,60
5.0,7.0,0.16,42
2.0,0.0,0.0,70
1.0,22.0,0.8,229
2.0,8.0,0.17,70
3.0,10.0,0.33,109
7.0,5.0,0.14,60
5.0,48.0,2.08,40
2.0,132.0,3.14,370
15.0,1.0,0.52,36
2.0,7.0,4.57,245
1.0,155.0,5.74,99
30.0,0.0,0.0,175
30.0,1.0,0.11,200
2.0,14.0,4.57,110
4.0,15.0,0.83,110
2.0,62.0,1.37,69
10.0,1.0,0.14,40
1.0,6.0,0.16,40
30.0,9.0,0.3,142
1.0,7.0,1.08,55
5.0,3.0,0.08,90
1.0,63.0,3.74,89
10.0,1.0,0.03,250
2.0,9.0,0.31,50
8.0,1.0,0.1,98
2.0,18.0,0.69,80
2.0,186.0,3.55,195
3.0,0.0,0.0,450
1.0,41.0,1.07,150
2.0,26.0,8.48,32
3.0,0.0,0.0,160
2.0,0.0,0.0,700
3.0,0.0,0.0,59
5.0,77.0,2.44,365
4.0,0.0,0.0,117
6.0,1.0,0.18,75
3.0,4.0,1.52,175
2.0,3.0,3.0,250
2.0,0.0,0.0,225
90.0,1.0,0.04,109
3.0,23.0,2.09,80
999.0,24.0,1.12,79
5.0,11.0,0.15,250
4.0,23.0,1.2,70
3.0,2.0,0.09,99
3.0,153.0,2.9,80
3.0,73.0,2.39,95
2.0,23.0,0.73,190
1.0,0.0,0.0,175
30.0,2.0,0.04,100
3.0,0.0,0.0,30
1.0,0.0,0.0,100
30.0,1.0,0.15,350
1.0,2.0,0.16,85
3.0,5.0,2.08,110
2.0,3.0,0.09,85
7.0,14.0,0.31,103
1.0,74.0,5.15,50
4.0,1.0,0.38,65
4.0,2.0,0.04,70
21.0,62.0,1.22,100
3.0,1.0,0.02,80
2.0,25.0,1.13,47
5.0,1.0,0.09,80
2.0,5.0,0.11,72
1.0,0.0,0.0,99
30.0,0.0,0.0,255
1.0,4.0,0.08,200
2.0,2.0,0.1,120
5.0,44.0,0.75,385
2.0,2.0,0.29,60
2.0,2.0,1.3,248
7.0,1.0,0.02,64
30.0,8.0,0.36,150
1.0,8.0,1.88,349
1.0,10.0,0.32,63
3.0,60.0,0.7,800
60.0,0.0,0.0,1200
30.0,0.0,0.0,90
30.0,18.0,0.29,150
1.0,3.0,0.13,52
3.0,1.0,1.0,100
4.0,42.0,1.44,85
1.0,9.0,0.71,750
30.0,25.0,0.53,45
5.0,26.0,0.28,250
4.0,17.0,0.78,130
1.0,1.0,0.02,80
2.0,1.0,1.0,150
4.0,11.0,0.23,460
3.0,32.0,0.88,135
1.0,236.0,4.63,38
2.0,81.0,1.6,60
30.0,0.0,0.0,33
10.0,0.0,0.0,40
2.0,139.0,3.73,450
2.0,1.0,0.03,38
1.0,19.0,3.93,69
28.0,6.0,0.32,40
2.0,62.0,3.94,249
2.0,45.0,2.0,126
1.0,76.0,2.77,89
3.0,78.0,2.93,250
4.0,0.0,0.0,80
14.0,9.0,0.14,110
3.0,10.0,0.54,140
3.0,4.0,0.31,299
1.0,14.0,2.8,150
3.0,54.0,1.24,166
5.0,6.0,0.26,120
1.0,19.0,5.64,45
2.0,3.0,0.05,325
1.0,14.0,0.82,150
3.0,15.0,0.25,50
3.0,2.0,0.08,150
1.0,1.0,0.79,52
1.0,1.0,0.16,60
7.0,0.0,0.0,51
2.0,20.0,0.58,172
2.0,74.0,1.46,369
2.0,42.0,3.04,105
1.0,115.0,4.64,55
2.0,0.0,0.0,80
2.0,1.0,0.02,80
1.0,5.0,0.13,125
10.0,0.0,0.0,165
1.0,0.0,0.0,50
2.0,15.0,3.06,180
2.0,10.0,2.11,431
5.0,21.0,0.6,200
2.0,0.0,0.0,249
4.0,3.0,0.24,95
1.0,3.0,3.0,375
5.0,13.0,0.68,83
1.0,52.0,4.37,96
1.0,9.0,1.23,399
2.0,135.0,2.13,44
3.0,7.0,0.16,45
30.0,2.0,0.16,180
2.0,4.0,0.08,120
3.0,9.0,0.37,436
4.0,2.0,0.05,140
5.0,47.0,1.76,53
1.0,1.0,0.04,180
2.0,51.0,4.77,180
2.0,150.0,4.06,115
1.0,1.0,0.04,155
2.0,7.0,0.15,68
1.0,38.0,3.93,40
1.0,68.0,3.62,60
1.0,6.0,0.42,157
2.0,49.0,3.95,215
5.0,0.0,0.0,250
1.0,62.0,4.64,89
1.0,0.0,0.0,65
1.0,31.0,3.1,55
2.0,59.0,1.77,70
3.0,8.0,2.89,299
3.0,0.0,0.0,399
1.0,17.0,2.33,34
16.0,1.0,0.04,49
7.0,4.0,0.18,160
30.0,0.0,0.0,210
2.0,0.0,0.0,50
2.0,1.0,0.6,99
2.0,9.0,2.31,149
1.0,21.0,1.48,95
4.0,1.0,0.02,98
1.0,4.0,0.21,120
30.0,2.0,0.04,60
3.0,5.0,4.41,294
30.0,2.0,0.5,130
2.0,193.0,1.78,150
7.0,3.0,1.05,135
1.0,0.0,0.0,100
1.0,86.0,8.72,199
3.0,14.0,1.06,50
2.0,280.0,5.51,65
2.0,0.0,0.0,160
30.0,13.0,1.45,65
4.0,3.0,3.0,70
5.0,3.0,0.98,285
1.0,17.0,0.55,45
3.0,23.0,1.18,125
2.0,25.0,0.74,188
13.0,0.0,0.0,55
1.0,180.0,5.07,250
2.0,1.0,0.02,101
3.0,24.0,1.94,200
2.0,148.0,3.26,275
29.0,1.0,0.88,244
2.0,4.0,0.31,180
1.0,48.0,2.38,250
500.0,0.0,0.0,75
20.0,4.0,0.3,142
3.0,91.0,3.5,65
1.0,18.0,3.91,399
2.0,63.0,2.53,69
2.0,4.0,0.11,95
29.0,0.0,0.0,110
181.0,82.0,1.07,155
1.0,0.0,0.0,70
30.0,0.0,0.0,350
30.0,0.0,0.0,40
1.0,0.0,0.0,180
1.0,12.0,0.75,50
5.0,25.0,0.37,140
7.0,1.0,0.04,60
3.0,0.0,0.0,95
1.0,0.0,0.0,120
2.0,4.0,0.99,195
30.0,35.0,3.06,65
5.0,11.0,0.27,120
1.0,9.0,2.87,65
1.0,66.0,0.89,80
2.0,7.0,0.18,205
15.0,3.0,0.1,75
3.0,2.0,0.06,65
3.0,1.0,0.21,737
3.0,0.0,0.0,47
1.0,0.0,0.0,60
3.0,5.0,0.36,80
30.0,1.0,0.1,55
2.0,219.0,2.44,75
2.0,6.0,0.51,275
1.0,1.0,0.02,125
2.0,11.0,2.39,85
1.0,59.0,1.26,48
3.0,175.0,4.1,35
1.0,76.0,2.44,95
1.0,0.0,0.0,90
3.0,7.0,0.08,315
3.0,1.0,0.05,41
3.0,26.0,0.68,50
3.0,18.0,3.1,155
3.0,13.0,0.29,70
30.0,1.0,1.0,34
3.0,0.0,0.0,80
3.0,1.0,0.6,69
90.0,0.0,0.0,306
3.0,10.0,0.13,82
2.0,5.0,0.11,250
3.0,218.0,2.26,90
2.0,18.0,0.77,80
2.0,0.0,0.0,150
7.0,1.0,0.94,50
15.0,6.0,0.27,110
1.0,19.0,1.02,51
15.0,0.0,0.0,50
2.0,9.0,4.15,161
6.0,0.0,0.0,100
30.0,0.0,0.0,42
2.0,61.0,2.36,49
8.0,37.0,0.87,119
2.0,4.0,0.46,50
1.0,9.0,0.15,170
1.0,47.0,2.2,175
5.0,48.0,2.22,245
7.0,9.0,0.16,100
1.0,2.0,0.04,109
2.0,2.0,0.06,160
1.0,0.0,0.0,115
2.0,5.0,0.33,90
90.0,0.0,0.0,332
30.0,10.0,0.44,133
4.0,5.0,0.64,355
1.0,0.0,0.0,800
7.0,0.0,0.0,135
2.0,1.0,0.06,100
28.0,1.0,0.6,675
1.0,54.0,4.82,89
2.0,1.0,0.15,600
3.0,81.0,3.46,350
3.0,72.0,2.56,95
5.0,2.0,0.14,90
1.0,1.0,0.18,49
2.0,152.0,2.03,75
3.0,5.0,0.58,175
30.0,1.0,0.3,52
10.0,4.0,0.06,100
2.0,0.0,0.0,125
2.0,2.0,1.5,229
7.0,45.0,1.06,80
2.0,11.0,1.94,99
5.0,2.0,0.1,65
1.0,23.0,0.27,49
4.0,22.0,0.45,200
1.0,16.0,5.05,40
5.0,0.0,0.0,40
1.0,0.0,0.0,275
1.0,10.0,0.35,47
2.0,32.0,0.55,100
3.0,32.0,0.29,105
1.0,0.0,0.0,930
3.0,6.0,0.13,130
2.0,49.0,3.79,125
2.0,15.0,1.67,45
7.0,0.0,0.0,47
4.0,70.0,1.76,120
7.0,4.0,0.13,140
1.0,0.0,0.0,349
30.0,0.0,0.0,180
1.0,18.0,3.6,30
2.0,31.0,0.52,195
3.0,0.0,0.0,50
2.0,136.0,3.07,60
3.0,21.0,2.03,225
5.0,1.0,1.0,70
10.0,116.0,1.17,85
3.0,104.0,4.29,275
3.0,4.0,0.07,275
3.0,3.0,0.07,50
4.0,10.0,0.57,132
3.0,2.0,0.08,150
2.0,97.0,1.47,235
4.0,17.0,0.76,65
3.0,1.0,0.27,139
3.0,0.0,0.0,140
30.0,7.0,0.14,200
14.0,0.0,0.0,50
5.0,15.0,0.19,140
5.0,0.0,0.0,65
30.0,0.0,0.0,28
2.0,204.0,3.51,125
1.0,20.0,5.04,48
1.0,10.0,2.94,75
2.0,15.0,1.77,25
4.0,2.0,1.4,300
3.0,1.0,0.05,60
1.0,26.0,1.1,37
30.0,1.0,0.15,120
2.0,5.0,5.0,120
30.0,0.0,0.0,35
7.0,2.0,1.0,67
2.0,0.0,0.0,130
4.0,19.0,1.32,140
240.0,0.0,0.0,45
3.0,2.0,0.04,75
30.0,4.0,0.13,185
3.0,3.0,1.29,245
3.0,10.0,0.28,99
2.0,39.0,5.37,90
1.0,1.0,0.05,200
1.0,46.0,0.84,230
60.0,1.0,0.05,27
2.0,6.0,3.46,239
6.0,2.0,0.22,43
1.0,1.0,0.05,50
3.0,11.0,0.38,35
3.0,2.0,0.13,93
4.0,21.0,0.41,122
2.0,9.0,0.12,248
3.0,1.0,0.13,76
10.0,0.0,0.0,40
2.0,1.0,0.5,39
2.0,0.0,0.0,110
4.0,2.0,0.04,120
3.0,10.0,0.57,46
1.0,4.0,0.23,80
2.0,13.0,2.22,49
3.0,5.0,0.1,50
2.0,76.0,2.69,385
3.0,0.0,0.0,150
7.0,5.0,0.66,175
7.0,0.0,0.0,200
2.0,93.0,3.37,50
7.0,11.0,0.63,119
4.0,0.0,0.0,220
7.0,17.0,0.53,180
7.0,0.0,0.0,250
20.0,5.0,0.39,105
3.0,8.0,0.17,70
1.0,12.0,7.2,89
1.0,1.0,0.05,70
2.0,63.0,1.66,168
31.0,0.0,0.0,200
2.0,102.0,3.33,25
2.0,18.0,0.5,700
1.0,3.0,0.06,55
1.0,0.0,0.0,300
1.0,1.0,0.06,150
5.0,11.0,0.78,35
2.0,4.0,0.08,95
1.0,0.0,0.0,100
1.0,2.0,0.05,150
2.0,0.0,0.0,50
6.0,2.0,0.17,45
2.0,17.0,0.92,275
7.0,0.0,0.0,100
5.0,86.0,1.15,240
1.0,0.0,0.0,89
2.0,121.0,2.02,150
1.0,1.0,0.38,48
2.0,5.0,0.12,264
2.0,32.0,3.08,40
1.0,3.0,0.93,75
1.0,38.0,0.6,65
3.0,15.0,0.88,65
10.0,8.0,0.52,225
3.0,0.0,0.0,199
30.0,2.0,0.08,125
1.0,1.0,0.02,180
2.0,164.0,4.72,189
2.0,8.0,0.42,75
3.0,116.0,2.56,195
1.0,33.0,0.84,35
3.0,0.0,0.0,154
7.0,1.0,0.02,175
5.0,35.0,1.27,120
2.0,1.0,1.0,265
3.0,24.0,0.33,160
20.0,0.0,0.0,90
2.0,12.0,3.91,120
12.0,3.0,1.73,78
1.0,54.0,7.47,115
5.0,21.0,0.42,49
30.0,32.0,0.91,199
4.0,0.0,0.0,225
3.0,18.0,0.89,143
30.0,5.0,0.37,175
7.0,0.0,0.0,133
1.0,52.0,0.82,145
3.0,2.0,0.05,170
2.0,2.0,1.02,82
3.0,1.0,0.03,200
1.0,8.0,0.08,190
1.0,296.0,10.6,55
5.0,25.0,1.49,119
1.0,53.0,2.33,80
3.0,59.0,1.71,50
15.0,0.0,0.0,129
4.0,21.0,3.56,125
2.0,6.0,2.77,42
3.0,4.0,0.31,240
1.0,24.0,1.01,105
30.0,0.0,0.0,369
30.0,1.0,0.05,150
4.0,8.0,0.19,270
2.0,73.0,4.86,100
2.0,61.0,2.72,105
1.0,87.0,1.37,399
7.0,12.0,0.63,75
3.0,1.0,0.42,125
1.0,1.0,0.06,47
1.0,33.0,2.36,60
29.0,0.0,0.0,35
1.0,2.0,2.0,100
3.0,98.0,3.45,79
3.0,0.0,0.0,65
30.0,3.0,0.16,100
2.0,18.0,3.02,42
3.0,11.0,2.73,35
3.0,19.0,1.03,400
5.0,5.0,1.95,349
7.0,1.0,0.26,50
1.0,53.0,4.68,85
5.0,0.0,0.0,650
1.0,2.0,0.35,120
3.0,6.0,0.55,55
1.0,1.0,0.03,67
2.0,119.0,2.95,150
2.0,23.0,1.36,169
1.0,0.0,0.0,125
4.0,0.0,0.0,250
3.0,0.0,0.0,170
12.0,2.0,0.05,45
2.0,19.0,1.03,349
2.0,38.0,4.73,129
1.0,8.0,0.17,180
5.0,0.0,0.0,40
1.0,11.0,0.92,55
3.0,7.0,0.14,105
1.0,28.0,1.14,50
1.0,22.0,0.63,75
2.0,130.0,3.3,325
5.0,88.0,2.23,149
5.0,91.0,1.65,300
2.0,8.0,1.41,120
2.0,11.0,0.83,65
2.0,44.0,2.92,97
2.0,38.0,4.49,350
7.0,5.0,0.19,180
1.0,5.0,0.12,100
2.0,10.0,5.88,120
1.0,141.0,5.44,130
1.0,157.0,3.04,65
29.0,0.0,0.0,192
1.0,22.0,2.14,39
3.0,14.0,0.46,95
1.0,1.0,0.28,94
5.0,4.0,0.53,69
2.0,51.0,2.44,170
30.0,0.0,0.0,150
14.0,12.0,0.22,60
3.0,1.0,0.05,50
3.0,2.0,0.06,150
3.0,18.0,0.25,150
3.0,46.0,0.83,44
2.0,8.0,0.5,125
3.0,5.0,0.19,133
2.0,6.0,1.13,355
1.0,1.0,0.05,70
1.0,10.0,10.0,109
30.0,2.0,0.15,64
15.0,0.0,0.0,300
15.0,14.0,0.38,60
1.0,13.0,7.5,60
1.0,1.0,0.04,84
7.0,1.0,0.1,175
1.0,1.0,0.05,35
3.0,2.0,0.04,55
2.0,23.0,0.64,425
2.0,16.0,1.14,50
1.0,0.0,0.0,135
3.0,20.0,1.63,50
1.0,5.0,0.09,4500
4.0,13.0,0.38,179
1.0,11.0,4.58,95
3.0,2.0,0.16,200
5.0,0.0,0.0,84
1.0,3.0,0.13,50
1.0,82.0,2.45,88
1.0,0.0,0.0,37
5.0,0.0,0.0,110
12.0,1.0,0.61,750
2.0,12.0,1.86,89
30.0,0.0,0.0,365
1.0,1.0,0.04,100
2.0,2.0,2.0,198
2.0,6.0,0.24,200
2.0,22.0,0.69,350
4.0,70.0,0.75,110
3.0,4.0,3.33,120
2.0,2.0,2.0,49
3.0,0.0,0.0,50
15.0,0.0,0.0,50
7.0,0.0,0.0,50
3.0,4.0,0.13,135
2.0,426.0,3.89,76
1.0,114.0,3.18,37
1.0,0.0,0.0,75
2.0,40.0,1.92,90
4.0,118.0,2.34,45
7.0,2.0,0.17,85
1.0,412.0,10.19,45
3.0,1.0,0.02,65
2.0,100.0,2.15,97
5.0,46.0,0.91,100
3.0,9.0,0.78,130
2.0,10.0,0.19,110
2.0,114.0,2.86,155
2.0,0.0,0.0,49
2.0,48.0,2.44,120
3.0,12.0,6.55,150
1.0,1.0,0.04,119
3.0,1.0,0.09,33
1.0,10.0,0.82,43
2.0,3.0,0.13,195
5.0,2.0,0.76,173
1.0,19.0,5.33,115
2.0,17.0,2.25,136
2.0,29.0,3.14,225
4.0,0.0,0.0,307
5.0,37.0,0.45,120
3.0,248.0,2.25,130
2.0,52.0,2.19,125
4.0,17.0,3.09,145
30.0,0.0,0.0,274
2.0,5.0,1.43,214
1.0,25.0,0.81,69
4.0,58.0,3.16,39
3.0,59.0,2.89,58
2.0,6.0,6.0,150
3.0,13.0,0.15,225
2.0,117.0,1.99,125
2.0,0.0,0.0,95
30.0,0.0,0.0,195
1.0,1.0,1.0,150
30.0,4.0,0.17,163
2.0,2.0,0.13,200
2.0,29.0,0.81,105
3.0,7.0,0.07,239
1.0,7.0,4.04,100
31.0,2.0,0.16,40
2.0,31.0,2.69,187
1.0,2.0,0.03,150
30.0,0.0,0.0,86
5.0,0.0,0.0,60
1.0,26.0,1.41,49
1.0,82.0,0.94,39
3.0,11.0,0.28,150
2.0,4.0,0.13,80
3.0,5.0,0.51,10
2.0,18.0,5.35,35
2.0,129.0,2.8,165
3.0,9.0,0.58,89
3.0,1.0,1.0,450
30.0,0.0,0.0,217
36.0,0.0,0.0,175
1.0,42.0,3.37,49
2.0,1.0,0.04,80
1.0,3.0,0.04,225
30.0,0.0,0.0,34
3.0,78.0,1.68,177
1.0,116.0,2.38,129
1.0,1.0,0.03,90
3.0,4.0,0.63,175
30.0,0.0,0.0,150
1.0,19.0,0.9,40
2.0,3.0,0.36,390
6.0,60.0,3.22,185
5.0,0.0,0.0,130
3.0,34.0,0.75,80
1.0,114.0,7.97,89
3.0,5.0,0.53,289
5.0,0.0,0.0,130
7.0,107.0,2.4,249
9.0,10.0,0.24,125
2.0,20.0,0.99,140
3.0,0.0,0.0,75
2.0,52.0,0.71,200
6.0,9.0,0.49,589
2.0,9.0,0.8,199
2.0,7.0,0.12,99
2.0,17.0,1.73,135
2.0,2.0,0.11,175
1.0,93.0,2.28,29
2.0,119.0,6.44,84
1.0,0.0,0.0,70
6.0,0.0,0.0,60
1.0,0.0,0.0,65
2.0,18.0,6.67,70
15.0,1.0,0.94,65
4.0,9.0,0.22,90
2.0,15.0,0.64,180
2.0,0.0,0.0,275
4.0,5.0,0.4,195
4.0,122.0,3.01,195
1.0,20.0,1.81,50
3.0,7.0,0.62,200
30.0,1.0,0.03,400
3.0,22.0,0.7,65
5.0,26.0,0.8,89
2.0,1.0,0.02,52
1.0,0.0,0.0,125
4.0,56.0,1.07,89
6.0,1.0,0.48,225
2.0,19.0,0.55,265
6.0,8.0,0.23,275
2.0,1.0,0.02,130
5.0,2.0,0.08,49
4.0,3.0,0.1,180
2.0,0.0,0.0,50
3.0,2.0,2.0,330
2.0,15.0,0.49,131
14.0,0.0,0.0,40
4.0,4.0,0.72,85
1.0,3.0,2.0,77
2.0,0.0,0.0,60
2.0,38.0,1.6,45
21.0,10.0,0.17,100
29.0,1.0,0.21,32
3.0,5.0,2.5,239
2.0,3.0,0.08,250
1.0,0.0,0.0,135
2.0,37.0,2.32,179
1.0,4.0,0.15,74
1.0,0.0,0.0,70
2.0,2.0,0.09,65
3.0,0.0,0.0,47
1.0,0.0,0.0,51
5.0,0.0,0.0,80
14.0,30.0,0.35,99
